#Command-line arguments:  ../reprompi/bin/mpibenchmark --calls-list=MPI_Bcast,MPI_Alltoall,MPI_Allreduce --msizes-list=8,1024,2048 --nrep=50
#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	8
#	1024
#	2048
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=00325471f9a39c5ffc35796f360fb02838cbef84
#@nprocs=6
#@clocktype=local
#@clock=MPI_Wtime
#@sync=MPI_Barrier
#@nrep=50
                                              test       nrep        count    runtime_sec 
                                         MPI_Bcast          0            8   0.0000056610
                                         MPI_Bcast          1            8   0.0000031660
                                         MPI_Bcast          2            8   0.0000044280
                                         MPI_Bcast          3            8   0.0000028460
                                         MPI_Bcast          4            8   0.0000023950
                                         MPI_Bcast          5            8   0.0000037770
                                         MPI_Bcast          6            8   0.0000126640
                                         MPI_Bcast          7            8   0.0000018630
                                         MPI_Bcast          8            8   0.0000017940
                                         MPI_Bcast          9            8   0.0000019930
                                         MPI_Bcast         10            8   0.0000025650
                                         MPI_Bcast         11            8   0.0000021940
                                         MPI_Bcast         12            8   0.0000022450
                                         MPI_Bcast         13            8   0.0000020140
                                         MPI_Bcast         14            8   0.0000025740
                                         MPI_Bcast         15            8   0.0000014630
                                         MPI_Bcast         16            8   0.0000016730
                                         MPI_Bcast         17            8   0.0000016230
                                         MPI_Bcast         18            8   0.0000016430
                                         MPI_Bcast         19            8   0.0000019440
                                         MPI_Bcast         20            8   0.0000015030
                                         MPI_Bcast         21            8   0.0000017940
                                         MPI_Bcast         22            8   0.0000016530
                                         MPI_Bcast         23            8   0.0000016430
                                         MPI_Bcast         24            8   0.0000013730
                                         MPI_Bcast         25            8   0.0000016440
                                         MPI_Bcast         26            8   0.0000017130
                                         MPI_Bcast         27            8   0.0000017330
                                         MPI_Bcast         28            8   0.0000014230
                                         MPI_Bcast         29            8   0.0000016430
                                         MPI_Bcast         30            8   0.0000019640
                                         MPI_Bcast         31            8   0.0000017730
                                         MPI_Bcast         32            8   0.0000013320
                                         MPI_Bcast         33            8   0.0000017230
                                         MPI_Bcast         34            8   0.0000015420
                                         MPI_Bcast         35            8   0.0000014930
                                         MPI_Bcast         36            8   0.0000017230
                                         MPI_Bcast         37            8   0.0000016230
                                         MPI_Bcast         38            8   0.0000015830
                                         MPI_Bcast         39            8   0.0000017040
                                         MPI_Bcast         40            8   0.0000015130
                                         MPI_Bcast         41            8   0.0000017040
                                         MPI_Bcast         42            8   0.0000014020
                                         MPI_Bcast         43            8   0.0000017830
                                         MPI_Bcast         44            8   0.0000016640
                                         MPI_Bcast         45            8   0.0000019640
                                         MPI_Bcast         46            8   0.0000013430
                                         MPI_Bcast         47            8   0.0000016130
                                         MPI_Bcast         48            8   0.0000016430
                                         MPI_Bcast         49            8   0.0000015330
                                      MPI_Alltoall          0            8   0.0000709150
                                      MPI_Alltoall          1            8   0.0000067130
                                      MPI_Alltoall          2            8   0.0000060720
                                      MPI_Alltoall          3            8   0.0000053910
                                      MPI_Alltoall          4            8   0.0000057110
                                      MPI_Alltoall          5            8   0.0000052390
                                      MPI_Alltoall          6            8   0.0000053400
                                      MPI_Alltoall          7            8   0.0000052600
                                      MPI_Alltoall          8            8   0.0000051000
                                      MPI_Alltoall          9            8   0.0000056210
                                      MPI_Alltoall         10            8   0.0000076850
                                      MPI_Alltoall         11            8   0.0000053400
                                      MPI_Alltoall         12            8   0.0000058010
                                      MPI_Alltoall         13            8   0.0000057710
                                      MPI_Alltoall         14            8   0.0000095780
                                      MPI_Alltoall         15            8   0.0000101190
                                      MPI_Alltoall         16            8   0.0000073040
                                      MPI_Alltoall         17            8   0.0000053300
                                      MPI_Alltoall         18            8   0.0000052600
                                      MPI_Alltoall         19            8   0.0000052700
                                      MPI_Alltoall         20            8   0.0000051400
                                      MPI_Alltoall         21            8   0.0000050900
                                      MPI_Alltoall         22            8   0.0000053300
                                      MPI_Alltoall         23            8   0.0000054300
                                      MPI_Alltoall         24            8   0.0000054200
                                      MPI_Alltoall         25            8   0.0000050490
