Built target mpibenchmark
Built target mpibenchmark
[ 48%] Built target mpibenchmark
[ 64%] Built target mpibenchPredNreps
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchPredNreps
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 65%] Built target mpibenchmark
[ 65%] Built target mpibenchmark
[ 97%] Built target mpibenchPredNreps
[ 97%] Built target nrep_pred
[ 97%] Built target nrep_pred
Built target mpibenchPredNreps
Built target mpibenchPredNreps
Built target mpibenchPredNreps
Built target mpibenchPredNreps
[ 86%] Built target mpibenchPredNreps
[ 81%] Built target mpibenchPredNreps
[ 84%] Built target verify_clock
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 83%] Built target verify_clock
[ 75%] Built target mpibenchPredNreps
[ 27%] Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target mpibenchmark
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target mpibenchPredNreps
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target nrep_pred
Built target verify_clock
#Command-line arguments:  /home/thesis/steiner/reprompi/./bin/mpibenchmark --calls-list=MPI_Bcast,MPI_Alltoall,MPI_Allreduce --msizes-list=1,4,16,128,1024,10240,102400,1024000 --nrep=20 -v
#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=00325471f9a39c5ffc35796f360fb02838cbef84
#@nprocs=16
#@clocktype=local
#@clock=MPI_Wtime
#@sync=MPI_Barrier
#@nrep=20
process                                               test       nrep        count loc_tstart_sec   loc_tend_sec 
      0                                          MPI_Bcast          0            1 116784.3010134680 116784.3010160080
      0                                          MPI_Bcast          1            1 116784.3010262460 116784.3010274950
      0                                          MPI_Bcast          2            1 116784.3010376780 116784.3010388880
      0                                          MPI_Bcast          3            1 116784.3010498190 116784.3010581300
      0                                          MPI_Bcast          4            1 116784.3010655830 116784.3010667980
      0                                          MPI_Bcast          5            1 116784.3010770640 116784.3010782900
      0                                          MPI_Bcast          6            1 116784.3010878510 116784.3010890640
      0                                          MPI_Bcast          7            1 116784.3010977320 116784.3010991870
      0                                          MPI_Bcast          8            1 116784.3011085760 116784.3011097850
      0                                          MPI_Bcast          9            1 116784.3011193420 116784.3011205260
      0                                          MPI_Bcast         10            1 116784.3011304560 116784.3011316990
      0                                          MPI_Bcast         11            1 116784.3011406800 116784.3011418580
      0                                          MPI_Bcast         12            1 116784.3011515540 116784.3011528010
      0                                          MPI_Bcast         13            1 116784.3011620330 116784.3011631960
      0                                          MPI_Bcast         14            1 116784.3011727750 116784.3011740000
      0                                          MPI_Bcast         15            1 116784.3011827870 116784.3011841780
      0                                          MPI_Bcast         16            1 116784.3011929630 116784.3011941930
      0                                          MPI_Bcast         17            1 116784.3012039220 116784.3012054050
      0                                          MPI_Bcast         18            1 116784.3012141490 116784.3012153720
      0                                          MPI_Bcast         19            1 116784.3012261470 116784.3012273170
      1                                          MPI_Bcast          0            1 116747.2763906830 116747.2763950280
      1                                          MPI_Bcast          1            1 116747.2764041280 116747.2764060110
      1                                          MPI_Bcast          2            1 116747.2764139900 116747.2764176290
      1                                          MPI_Bcast          3            1 116747.2764252710 116747.2764294530
      1                                          MPI_Bcast          4            1 116747.2764433940 116747.2764450740
      1                                          MPI_Bcast          5            1 116747.2764533100 116747.2764565820
      1                                          MPI_Bcast          6            1 116747.2764643810 116747.2764673810
      1                                          MPI_Bcast          7            1 116747.2764744950 116747.2764772270
      1                                          MPI_Bcast          8            1 116747.2764843440 116747.2764883850
      1                                          MPI_Bcast          9            1 116747.2764953110 116747.2764988900
      1                                          MPI_Bcast         10            1 116747.2765062760 116747.2765099790
      1                                          MPI_Bcast         11            1 116747.2765178380 116747.2765206560
      1                                          MPI_Bcast         12            1 116747.2765276270 116747.2765311020
      1                                          MPI_Bcast         13            1 116747.2765387150 116747.2765415220
      1                                          MPI_Bcast         14            1 116747.2765497860 116747.2765523060
      1                                          MPI_Bcast         15            1 116747.2765598020 116747.2765623730
      1                                          MPI_Bcast         16            1 116747.2765698740 116747.2765724660
      1                                          MPI_Bcast         17            1 116747.2765797690 116747.2765837330
      1                                          MPI_Bcast         18            1 116747.2765907800 116747.2765936620
      1                                          MPI_Bcast         19            1 116747.2766036070 116747.2766056390
      2                                          MPI_Bcast          0            1 116748.9866089300 116748.9866129760
      2                                          MPI_Bcast          1            1 116748.9866217020 116748.9866239730
      2                                          MPI_Bcast          2            1 116748.9866322750 116748.9866351780
      2                                          MPI_Bcast          3            1 116748.9866435340 116748.9866542290
      2                                          MPI_Bcast          4            1 116748.9866603500 116748.9866630060
      2                                          MPI_Bcast          5            1 116748.9866714710 116748.9866745890
      2                                          MPI_Bcast          6            1 116748.9866821660 116748.9866853600
      2                                          MPI_Bcast          7            1 116748.9866932680 116748.9866953510
      2                                          MPI_Bcast          8            1 116748.9867026550 116748.9867060880
      2                                          MPI_Bcast          9            1 116748.9867141780 116748.9867171400
      2                                          MPI_Bcast         10            1 116748.9867248990 116748.9867279580
      2                                          MPI_Bcast         11            1 116748.9867356820 116748.9867381490
      2                                          MPI_Bcast         12            1 116748.9867459460 116748.9867490750
      2                                          MPI_Bcast         13            1 116748.9867561980 116748.9867595340
      2                                          MPI_Bcast         14            1 116748.9867681300 116748.9867702530
      2                                          MPI_Bcast         15            1 116748.9867776830 116748.9867803290
      2                                          MPI_Bcast         16            1 116748.9867877510 116748.9867904460
      2                                          MPI_Bcast         17            1 116748.9867981830 116748.9868017340
      2                                          MPI_Bcast         18            1 116748.9868137990 116748.9868152660
      2                                          MPI_Bcast         19            1 116748.9868205280 116748.9868236460
      3                                          MPI_Bcast          0            1 116754.0411743610 116754.0411787060
      3                                          MPI_Bcast          1            1 116754.0411852920 116754.0411894170
      3                                          MPI_Bcast          2            1 116754.0411951220 116754.0412007740
      3                                          MPI_Bcast          3            1 116754.0412068810 116754.0412126140
      3                                          MPI_Bcast          4            1 116754.0412256010 116754.0412284000
      3                                          MPI_Bcast          5            1 116754.0412346080 116754.0412397440
      3                                          MPI_Bcast          6            1 116754.0412456050 116754.0412506910
      3                                          MPI_Bcast          7            1 116754.0412567010 116754.0412604290
      3                                          MPI_Bcast          8            1 116754.0412661150 116754.0412714510
      3                                          MPI_Bcast          9            1 116754.0412770750 116754.0412821510
      3                                          MPI_Bcast         10            1 116754.0412885140 116754.0412932530
      3                                          MPI_Bcast         11            1 116754.0412996110 116754.0413036460
      3                                          MPI_Bcast         12            1 116754.0413094190 116754.0413142530
      3                                          MPI_Bcast         13            1 116754.0413197380 116754.0413246130
      3                                          MPI_Bcast         14            1 116754.0413313660 116754.0413356190
      3                                          MPI_Bcast         15            1 116754.0413412610 116754.0413455060
      3                                          MPI_Bcast         16            1 116754.0413533990 116754.0413557380
      3                                          MPI_Bcast         17            1 116754.0413614520 116754.0413668260
      3                                          MPI_Bcast         18            1 116754.0413723700 116754.0413768200
      3                                          MPI_Bcast         19            1 116754.0413850380 116754.0413887910
      4                                          MPI_Bcast          0            1 116754.8157526130 116754.8157562180
      4                                          MPI_Bcast          1            1 116754.8157645480 116754.8157671260
      4                                          MPI_Bcast          2            1 116754.8157755540 116754.8157784350
      4                                          MPI_Bcast          3            1 116754.8157876460 116754.8157975390
      4                                          MPI_Bcast          4            1 116754.8158033710 116754.8158066870
      4                                          MPI_Bcast          5            1 116754.8158149640 116754.8158177950
      4                                          MPI_Bcast          6            1 116754.8158257410 116754.8158286060
      4                                          MPI_Bcast          7            1 116754.8158359210 116754.8158385120
      4                                          MPI_Bcast          8            1 116754.8158461670 116754.8158493110
      4                                          MPI_Bcast          9            1 116754.8158575990 116754.8158601650
      4                                          MPI_Bcast         10            1 116754.8158679750 116754.8158711820
      4                                          MPI_Bcast         11            1 116754.8158785120 116754.8158814730
      4                                          MPI_Bcast         12            1 116754.8158893420 116754.8158922990
      4                                          MPI_Bcast         13            1 116754.8159000640 116754.8159027540
      4                                          MPI_Bcast         14            1 116754.8159113730 116754.8159135000
      4                                          MPI_Bcast         15            1 116754.8159210780 116754.8159236400
      4                                          MPI_Bcast         16            1 116754.8159310560 116754.8159337480
      4                                          MPI_Bcast         17            1 116754.8159415730 116754.8159449650
      4                                          MPI_Bcast         18            1 116754.8159519710 116754.8159548490
      4                                          MPI_Bcast         19            1 116754.8159637110 116754.8159668850
      5                                          MPI_Bcast          0            1 116757.7815001650 116757.7815049400
      5                                          MPI_Bcast          1            1 116757.7815116010 116757.7815153520
      5                                          MPI_Bcast          2            1 116757.7815215500 116757.7815272890
      5                                          MPI_Bcast          3            1 116757.7815335480 116757.7815388410
      5                                          MPI_Bcast          4            1 116757.7815510250 116757.7815548910
      5                                          MPI_Bcast          5            1 116757.7815606590 116757.7815659780
      5                                          MPI_Bcast          6            1 116757.7815724830 116757.7815766420
      5                                          MPI_Bcast          7            1 116757.7815823110 116757.7815864500
      5                                          MPI_Bcast          8            1 116757.7815921200 116757.7815975790
      5                                          MPI_Bcast          9            1 116757.7816031880 116757.7816083820
      5                                          MPI_Bcast         10            1 116757.7816139580 116757.7816193450
      5                                          MPI_Bcast         11            1 116757.7816252630 116757.7816297860
      5                                          MPI_Bcast         12            1 116757.7816352370 116757.7816405220
      5                                          MPI_Bcast         13            1 116757.7816462340 116757.7816507580
      5                                          MPI_Bcast         14            1 116757.7816577780 116757.7816617650
      5                                          MPI_Bcast         15            1 116757.7816677250 116757.7816716790
      5                                          MPI_Bcast         16            1 116757.7816773250 116757.7816817770
      5                                          MPI_Bcast         17            1 116757.7816874600 116757.7816930150
      5                                          MPI_Bcast         18            1 116757.7816982880 116757.7817030370
      5                                          MPI_Bcast         19            1 116757.7817114310 116757.7817149110
      6                                          MPI_Bcast          0            1 116762.5167273860 116762.5167319120
