[ 31%] Built target mpibenchmark
[ 31%] Built target mpibenchmark
[ 31%] Built target mpibenchmark
[ 51%] Built target mpibenchPredNreps
[ 51%] Built target mpibenchPredNreps
[ 51%] Built target mpibenchPredNreps
[ 82%] Built target nrep_pred
[ 66%] Built target nrep_pred
[ 66%] Built target nrep_pred
[ 69%] Built target verify_clock
[ 66%] Built target verify_clock
[ 66%] Built target verify_clock
[ 29%] Built target mpibenchmark
Built target mpibenchPredNreps
Built target nrep_pred
Built target verify_clock
#Command-line arguments:  /home/thesis/steiner/reprompi/./bin/mpibenchmark --calls-list=MPI_Bcast,MPI_Alltoall,MPI_Allreduce --msizes-list=1,4,16,128,1024,10240,102400,1024000 --nrep=20
#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=00325471f9a39c5ffc35796f360fb02838cbef84
#@nprocs=4
#@clocktype=local
#@clock=MPI_Wtime
#@sync=MPI_Barrier
#@nrep=20
                                              test       nrep        count    runtime_sec 
                                         MPI_Bcast          0            1   0.0000038538
                                         MPI_Bcast          1            1   0.0000044322
                                         MPI_Bcast          2            1   0.0000039292
                                         MPI_Bcast          3            1   0.0000042729
                                         MPI_Bcast          4            1   0.0000043605
                                         MPI_Bcast          5            1   0.0000045476
                                         MPI_Bcast          6            1   0.0000043418
                                         MPI_Bcast          7            1   0.0000040187
                                         MPI_Bcast          8            1   0.0000044908
                                         MPI_Bcast          9            1   0.0000039935
                                         MPI_Bcast         10            1   0.0000041965
                                         MPI_Bcast         11            1   0.0000041323
                                         MPI_Bcast         12            1   0.0000041202
                                         MPI_Bcast         13            1   0.0000047432
                                         MPI_Bcast         14            1   0.0000045346
                                         MPI_Bcast         15            1   0.0000036964
                                         MPI_Bcast         16            1   0.0000039926
                                         MPI_Bcast         17            1   0.0000071237
                                         MPI_Bcast         18            1   0.0000045355
                                         MPI_Bcast         19            1   0.0000041984
                                      MPI_Alltoall          0            1   0.0001180731
                                      MPI_Alltoall          1            1   0.0000033472
                                      MPI_Alltoall          2            1   0.0000025779
                                      MPI_Alltoall          3            1   0.0000023125
                                      MPI_Alltoall          4            1   0.0000031982
                                      MPI_Alltoall          5            1   0.0000032065
                                      MPI_Alltoall          6            1   0.0000022696
                                      MPI_Alltoall          7            1   0.0000023609
                                      MPI_Alltoall          8            1   0.0000022026
                                      MPI_Alltoall          9            1   0.0000023050
                                      MPI_Alltoall         10            1   0.0000025714
                                      MPI_Alltoall         11            1   0.0000025211
                                      MPI_Alltoall         12            1   0.0000025844
                                      MPI_Alltoall         13            1   0.0000023693
                                      MPI_Alltoall         14            1   0.0000024633
                                      MPI_Alltoall         15            1   0.0000029784
                                      MPI_Alltoall         16            1   0.0000025807
                                      MPI_Alltoall         17            1   0.0000025779
                                      MPI_Alltoall         18            1   0.0000026673
                                      MPI_Alltoall         19            1   0.0000025444
                                     MPI_Allreduce          0            1   0.0000079991
                                     MPI_Allreduce          1            1   0.0000036312
                                     MPI_Allreduce          2            1   0.0000035912
                                     MPI_Allreduce          3            1   0.0000035008
                                     MPI_Allreduce          4            1   0.0000034710
                                     MPI_Allreduce          5            1   0.0000037383
                                     MPI_Allreduce          6            1   0.0000031600
                                     MPI_Allreduce          7            1   0.0000033705
                                     MPI_Allreduce          8            1   0.0000030305
                                     MPI_Allreduce          9            1   0.0000028992
                                     MPI_Allreduce         10            1   0.0000029346
                                     MPI_Allreduce         11            1   0.0000029765
                                     MPI_Allreduce         12            1   0.0000030519
                                     MPI_Allreduce         13            1   0.0000030044
                                     MPI_Allreduce         14            1   0.0000029253
                                     MPI_Allreduce         15            1   0.0000028275
                                     MPI_Allreduce         16            1   0.0000032866
                                     MPI_Allreduce         17            1   0.0000034356
                                     MPI_Allreduce         18            1   0.0000033630
                                     MPI_Allreduce         19            1   0.0000033546
                                         MPI_Bcast          0            4   0.0000045607
                                         MPI_Bcast          1            4   0.0000042925
                                         MPI_Bcast          2            4   0.0000039972
                                         MPI_Bcast          3            4   0.0000036573
                                         MPI_Bcast          4            4   0.0000042869
                                         MPI_Bcast          5            4   0.0000042021
                                         MPI_Bcast          6            4   0.0000036694
                                         MPI_Bcast          7            4   0.0000040065
                                         MPI_Bcast          8            4   0.0000041546
                                         MPI_Bcast          9            4   0.0000045486
                                         MPI_Bcast         10            4   0.0000042235
                                         MPI_Bcast         11            4   0.0000042208
                                         MPI_Bcast         12            4   0.0000039199
                                         MPI_Bcast         13            4   0.0000037989
                                         MPI_Bcast         14            4   0.0000041435
                                         MPI_Bcast         15            4   0.0000038035
                                         MPI_Bcast         16            4   0.0000042925
                                         MPI_Bcast         17            4   0.0000046492
                                         MPI_Bcast         18            4   0.0000039758
                                         MPI_Bcast         19            4   0.0000036824
                                      MPI_Alltoall          0            4   0.0000034021
                                      MPI_Alltoall          1            4   0.0000028089
                                      MPI_Alltoall          2            4   0.0000026319
                                      MPI_Alltoall          3            4   0.0000023628
                                      MPI_Alltoall          4            4   0.0000022948
                                      MPI_Alltoall          5            4   0.0000025481
                                      MPI_Alltoall          6            4   0.0000022957
                                      MPI_Alltoall          7            4   0.0000022883
                                      MPI_Alltoall          8            4   0.0000024112
                                      MPI_Alltoall          9            4   0.0000025108
                                      MPI_Alltoall         10            4   0.0000025081
                                      MPI_Alltoall         11            4   0.0000026543
                                      MPI_Alltoall         12            4   0.0000023227
                                      MPI_Alltoall         13            4   0.0000027902
                                      MPI_Alltoall         14            4   0.0000025732
                                      MPI_Alltoall         15            4   0.0000026207
                                      MPI_Alltoall         16            4   0.0000023991
                                      MPI_Alltoall         17            4   0.0000024484
                                      MPI_Alltoall         18            4   0.0000022380
                                      MPI_Alltoall         19            4   0.0000023386
                                     MPI_Allreduce          0            4   0.0000046333
                                     MPI_Allreduce          1            4   0.0000040438
                                     MPI_Allreduce          2            4   0.0000036946
                                     MPI_Allreduce          3            4   0.0000035018
                                     MPI_Allreduce          4            4   0.0000035176
                                     MPI_Allreduce          5            4   0.0000031767
                                     MPI_Allreduce          6            4   0.0000032419
                                     MPI_Allreduce          7            4   0.0000033136
                                     MPI_Allreduce          8            4   0.0000033649
                                     MPI_Allreduce          9            4   0.0000030417
                                     MPI_Allreduce         10            4   0.0000030948
                                     MPI_Allreduce         11            4   0.0000031022
                                     MPI_Allreduce         12            4   0.0000030501
                                     MPI_Allreduce         13            4   0.0000029486
                                     MPI_Allreduce         14            4   0.0000028824
                                     MPI_Allreduce         15            4   0.0000029569
                                     MPI_Allreduce         16            4   0.0000033164
                                     MPI_Allreduce         17            4   0.0000030193
                                     MPI_Allreduce         18            4   0.0000030436
                                     MPI_Allreduce         19            4   0.0000029700
                                         MPI_Bcast          0           16   0.0000060527
                                         MPI_Bcast          1           16   0.0000055237
                                         MPI_Bcast          2           16   0.0000050766
                                         MPI_Bcast          3           16   0.0000048978
                                         MPI_Bcast          4           16   0.0000048121
                                         MPI_Bcast          5           16   0.0000046678
                                         MPI_Bcast          6           16   0.0000048000
                                         MPI_Bcast          7           16   0.0000046790
                                         MPI_Bcast          8           16   0.0000051511
                                         MPI_Bcast          9           16   0.0000047125
                                         MPI_Bcast         10           16   0.0000044918
                                         MPI_Bcast         11           16   0.0000049593
                                         MPI_Bcast         12           16   0.0000047125
                                         MPI_Bcast         13           16   0.0000045253
                                         MPI_Bcast         14           16   0.0000046492
                                         MPI_Bcast         15           16   0.0000042934
                                         MPI_Bcast         16           16   0.0000041267
                                         MPI_Bcast         17           16   0.0000047321
                                         MPI_Bcast         18           16   0.0000051782
                                         MPI_Bcast         19           16   0.0000045123
                                      MPI_Alltoall          0           16   0.0000047339
                                      MPI_Alltoall          1           16   0.0000037281
                                      MPI_Alltoall          2           16   0.0000039004
                                      MPI_Alltoall          3           16   0.0000036620
                                      MPI_Alltoall          4           16   0.0000037551
                                      MPI_Alltoall          5           16   0.0000036368
                                      MPI_Alltoall          6           16   0.0000035707
                                      MPI_Alltoall          7           16   0.0000035567
                                      MPI_Alltoall          8           16   0.0000035614
                                      MPI_Alltoall          9           16   0.0000038240
                                      MPI_Alltoall         10           16   0.0000037886
                                      MPI_Alltoall         11           16   0.0000034841
                                      MPI_Alltoall         12           16   0.0000034776
                                      MPI_Alltoall         13           16   0.0000037374
                                      MPI_Alltoall         14           16   0.0000036899
                                      MPI_Alltoall         15           16   0.0000035986
                                      MPI_Alltoall         16           16   0.0000037896
                                      MPI_Alltoall         17           16   0.0000037942
                                      MPI_Alltoall         18           16   0.0000038221
                                      MPI_Alltoall         19           16   0.0000036247
                                     MPI_Allreduce          0           16   0.0000050366
                                     MPI_Allreduce          1           16   0.0000043586
                                     MPI_Allreduce          2           16   0.0000041109
                                     MPI_Allreduce          3           16   0.0000043847
                                     MPI_Allreduce          4           16   0.0000042254
                                     MPI_Allreduce          5           16   0.0000044042
                                     MPI_Allreduce          6           16   0.0000044806
                                     MPI_Allreduce          7           16   0.0000044210
                                     MPI_Allreduce          8           16   0.0000047470
                                     MPI_Allreduce          9           16   0.0000043968
                                     MPI_Allreduce         10           16   0.0000043586
                                     MPI_Allreduce         11           16   0.0000046222
                                     MPI_Allreduce         12           16   0.0000044201
                                     MPI_Allreduce         13           16   0.0000043614
                                     MPI_Allreduce         14           16   0.0000044601
                                     MPI_Allreduce         15           16   0.0000043707
                                     MPI_Allreduce         16           16   0.0000043707
                                     MPI_Allreduce         17           16   0.0000044061
                                     MPI_Allreduce         18           16   0.0000043893
                                     MPI_Allreduce         19           16   0.0000041323
                                         MPI_Bcast          0          128   0.0000052787
                                         MPI_Bcast          1          128   0.0000051325
                                         MPI_Bcast          2          128   0.0000052722
                                         MPI_Bcast          3          128   0.0000049453
                                         MPI_Bcast          4          128   0.0000048364
                                         MPI_Bcast          5          128   0.0000048103
                                         MPI_Bcast          6          128   0.0000048848
                                         MPI_Bcast          7          128   0.0000049388
                                         MPI_Bcast          8          128   0.0000047581
                                         MPI_Bcast          9          128   0.0000046408
                                         MPI_Bcast         10          128   0.0000049714
                                         MPI_Bcast         11          128   0.0000047442
                                         MPI_Bcast         12          128   0.0000049490
                                         MPI_Bcast         13          128   0.0000052368
                                         MPI_Bcast         14          128   0.0000051251
                                         MPI_Bcast         15          128   0.0000048531
                                         MPI_Bcast         16          128   0.0000046222
                                         MPI_Bcast         17          128   0.0000046343
                                         MPI_Bcast         18          128   0.0000049472
                                         MPI_Bcast         19          128   0.0000044834
                                      MPI_Alltoall          0          128   0.0000048531
                                      MPI_Alltoall          1          128   0.0000040736
                                      MPI_Alltoall          2          128   0.0000036275
                                      MPI_Alltoall          3          128   0.0000037691
                                      MPI_Alltoall          4          128   0.0000036014
                                      MPI_Alltoall          5          128   0.0000037402
                                      MPI_Alltoall          6          128   0.0000036592
                                      MPI_Alltoall          7          128   0.0000036135
                                      MPI_Alltoall          8          128   0.0000037160
                                      MPI_Alltoall          9          128   0.0000037504
                                      MPI_Alltoall         10          128   0.0000037523
                                      MPI_Alltoall         11          128   0.0000036675
                                      MPI_Alltoall         12          128   0.0000038370
                                      MPI_Alltoall         13          128   0.0000035176
                                      MPI_Alltoall         14          128   0.0000034943
                                      MPI_Alltoall         15          128   0.0000036173
                                      MPI_Alltoall         16          128   0.0000035046
                                      MPI_Alltoall         17          128   0.0000036079
                                      MPI_Alltoall         18          128   0.0000034953
                                      MPI_Alltoall         19          128   0.0000035698
                                     MPI_Allreduce          0          128   0.0000057807
                                     MPI_Allreduce          1          128   0.0000048755
                                     MPI_Allreduce          2          128   0.0000047572
                                     MPI_Allreduce          3          128   0.0000047553
                                     MPI_Allreduce          4          128   0.0000048373
                                     MPI_Allreduce          5          128   0.0000048857
                                     MPI_Allreduce          6          128   0.0000046352
                                     MPI_Allreduce          7          128   0.0000047470
                                     MPI_Allreduce          8          128   0.0000047814
                                     MPI_Allreduce          9          128   0.0000048429
                                     MPI_Allreduce         10          128   0.0000049658
                                     MPI_Allreduce         11          128   0.0000048568
                                     MPI_Allreduce         12          128   0.0000047795
                                     MPI_Allreduce         13          128   0.0000048298
                                     MPI_Allreduce         14          128   0.0000047041
                                     MPI_Allreduce         15          128   0.0000047712
                                     MPI_Allreduce         16          128   0.0000048410
                                     MPI_Allreduce         17          128   0.0000048932
                                     MPI_Allreduce         18          128   0.0000046156
                                     MPI_Allreduce         19          128   0.0000047293
                                         MPI_Bcast          0         1024   0.0000057612
                                         MPI_Bcast          1         1024   0.0000055898
                                         MPI_Bcast          2         1024   0.0000053663
                                         MPI_Bcast          3         1024   0.0000050962
                                         MPI_Bcast          4         1024   0.0000054035
                                         MPI_Bcast          5         1024   0.0000053952
                                         MPI_Bcast          6         1024   0.0000051884
                                         MPI_Bcast          7         1024   0.0000053225
                                         MPI_Bcast          8         1024   0.0000053067
                                         MPI_Bcast          9         1024   0.0000052266
                                         MPI_Bcast         10         1024   0.0000051884
                                         MPI_Bcast         11         1024   0.0000051903
                                         MPI_Bcast         12         1024   0.0000053644
                                         MPI_Bcast         13         1024   0.0000054976
                                         MPI_Bcast         14         1024   0.0000054045
                                         MPI_Bcast         15         1024   0.0000052862
                                         MPI_Bcast         16         1024   0.0000054725
                                         MPI_Bcast         17         1024   0.0000052052
                                         MPI_Bcast         18         1024   0.0000053151
                                         MPI_Bcast         19         1024   0.0000049341
                                      MPI_Alltoall          0         1024   0.0000053179
                                      MPI_Alltoall          1         1024   0.0000041286
                                      MPI_Alltoall          2         1024   0.0000038398
                                      MPI_Alltoall          3         1024   0.0000041546
                                      MPI_Alltoall          4         1024   0.0000040643
                                      MPI_Alltoall          5         1024   0.0000042235
                                      MPI_Alltoall          6         1024   0.0000039870
                                      MPI_Alltoall          7         1024   0.0000041239
                                      MPI_Alltoall          8         1024   0.0000041267
                                      MPI_Alltoall          9         1024   0.0000039088
                                      MPI_Alltoall         10         1024   0.0000039507
                                      MPI_Alltoall         11         1024   0.0000040047
                                      MPI_Alltoall         12         1024   0.0000038901
                                      MPI_Alltoall         13         1024   0.0000042198
                                      MPI_Alltoall         14         1024   0.0000040177
                                      MPI_Alltoall         15         1024   0.0000040084
                                      MPI_Alltoall         16         1024   0.0000042394
                                      MPI_Alltoall         17         1024   0.0000039125
                                      MPI_Alltoall         18         1024   0.0000039395
                                      MPI_Alltoall         19         1024   0.0000039330
                                     MPI_Allreduce          0         1024   0.0000071414
                                     MPI_Allreduce          1         1024   0.0000062827
                                     MPI_Allreduce          2         1024   0.0000068471
                                     MPI_Allreduce          3         1024   0.0000071153
                                     MPI_Allreduce          4         1024   0.0000070632
                                     MPI_Allreduce          5         1024   0.0000069616
                                     MPI_Allreduce          6         1024   0.0000072690
                                     MPI_Allreduce          7         1024   0.0000075931
                                     MPI_Allreduce          8         1024   0.0000070939
                                     MPI_Allreduce          9         1024   0.0000070995
                                     MPI_Allreduce         10         1024   0.0000072140
                                     MPI_Allreduce         11         1024   0.0000068936
                                     MPI_Allreduce         12         1024   0.0000068489
                                     MPI_Allreduce         13         1024   0.0000069495
                                     MPI_Allreduce         14         1024   0.0000075009
                                     MPI_Allreduce         15         1024   0.0000069709
                                     MPI_Allreduce         16         1024   0.0000070371
                                     MPI_Allreduce         17         1024   0.0000073863
                                     MPI_Allreduce         18         1024   0.0000070222
                                     MPI_Allreduce         19         1024   0.0000069113
                                         MPI_Bcast          0        10240   0.0000162050
                                         MPI_Bcast          1        10240   0.0000100983
                                         MPI_Bcast          2        10240   0.0000094809
                                         MPI_Bcast          3        10240   0.0000089314
                                         MPI_Bcast          4        10240   0.0000081621
                                         MPI_Bcast          5        10240   0.0000080364
                                         MPI_Bcast          6        10240   0.0000085812
                                         MPI_Bcast          7        10240   0.0000075987
                                         MPI_Bcast          8        10240   0.0000084788
                                         MPI_Bcast          9        10240   0.0000087125
                                         MPI_Bcast         10        10240   0.0000081165
                                         MPI_Bcast         11        10240   0.0000081593
                                         MPI_Bcast         12        10240   0.0000091167
                                         MPI_Bcast         13        10240   0.0000084136
                                         MPI_Bcast         14        10240   0.0000092825
                                         MPI_Bcast         15        10240   0.0000085132
                                         MPI_Bcast         16        10240   0.0000086362
                                         MPI_Bcast         17        10240   0.0000087125
                                         MPI_Bcast         18        10240   0.0000086175
                                         MPI_Bcast         19        10240   0.0000156276
                                      MPI_Alltoall          0        10240   0.0000184271
                                      MPI_Alltoall          1        10240   0.0000175657
                                      MPI_Alltoall          2        10240   0.0000166334
                                      MPI_Alltoall          3        10240   0.0000159256
                                      MPI_Alltoall          4        10240   0.0000162525
                                      MPI_Alltoall          5        10240   0.0000159834
                                      MPI_Alltoall          6        10240   0.0000159731
                                      MPI_Alltoall          7        10240   0.0000155354
                                      MPI_Alltoall          8        10240   0.0000180854
                                      MPI_Alltoall          9        10240   0.0000198195
                                      MPI_Alltoall         10        10240   0.0000160486
                                      MPI_Alltoall         11        10240   0.0000156024
                                      MPI_Alltoall         12        10240   0.0000158828
                                      MPI_Alltoall         13        10240   0.0000171522
                                      MPI_Alltoall         14        10240   0.0000159657
                                      MPI_Alltoall         15        10240   0.0000161892
                                      MPI_Alltoall         16        10240   0.0000157496
                                      MPI_Alltoall         17        10240   0.0000180937
                                      MPI_Alltoall         18        10240   0.0000191014
                                      MPI_Alltoall         19        10240   0.0000160374
                                     MPI_Allreduce          0        10240   0.0000245702
                                     MPI_Allreduce          1        10240   0.0000218209
                                     MPI_Allreduce          2        10240   0.0000219764
                                     MPI_Allreduce          3        10240   0.0000217501
                                     MPI_Allreduce          4        10240   0.0000221021
                                     MPI_Allreduce          5        10240   0.0000219215
                                     MPI_Allreduce          6        10240   0.0000221366
                                     MPI_Allreduce          7        10240   0.0000214651
                                     MPI_Allreduce          8        10240   0.0000219187
                                     MPI_Allreduce          9        10240   0.0000218283
                                     MPI_Allreduce         10        10240   0.0000221878
                                     MPI_Allreduce         11        10240   0.0000276137
                                     MPI_Allreduce         12        10240   0.0000226256
                                     MPI_Allreduce         13        10240   0.0000215182
                                     MPI_Allreduce         14        10240   0.0000221366
                                     MPI_Allreduce         15        10240   0.0000216626
                                     MPI_Allreduce         16        10240   0.0000219475
                                     MPI_Allreduce         17        10240   0.0000217678
                                     MPI_Allreduce         18        10240   0.0000219243
                                     MPI_Allreduce         19        10240   0.0000219541
                                         MPI_Bcast          0       102400   0.0001067948
                                         MPI_Bcast          1       102400   0.0000852356
                                         MPI_Bcast          2       102400   0.0000575073
                                         MPI_Bcast          3       102400   0.0000597145
                                         MPI_Bcast          4       102400   0.0000594240
                                         MPI_Bcast          5       102400   0.0000587115
                                         MPI_Bcast          6       102400   0.0000654375
                                         MPI_Bcast          7       102400   0.0000594389
                                         MPI_Bcast          8       102400   0.0000594109
                                         MPI_Bcast          9       102400   0.0000580307
                                         MPI_Bcast         10       102400   0.0000592461
                                         MPI_Bcast         11       102400   0.0000587273
                                         MPI_Bcast         12       102400   0.0000592433
                                         MPI_Bcast         13       102400   0.0000598142
                                         MPI_Bcast         14       102400   0.0000599250
                                         MPI_Bcast         15       102400   0.0000585513
                                         MPI_Bcast         16       102400   0.0000587245
                                         MPI_Bcast         17       102400   0.0000586063
                                         MPI_Bcast         18       102400   0.0000570221
                                         MPI_Bcast         19       102400   0.0000580577
                                      MPI_Alltoall          0       102400   0.0005700560
                                      MPI_Alltoall          1       102400   0.0000941083
                                      MPI_Alltoall          2       102400   0.0000933595
                                      MPI_Alltoall          3       102400   0.0000849366
                                      MPI_Alltoall          4       102400   0.0000747610
                                      MPI_Alltoall          5       102400   0.0000819787
                                      MPI_Alltoall          6       102400   0.0000757966
                                      MPI_Alltoall          7       102400   0.0000743335
                                      MPI_Alltoall          8       102400   0.0000744397
                                      MPI_Alltoall          9       102400   0.0000820402
                                      MPI_Alltoall         10       102400   0.0000757901
                                      MPI_Alltoall         11       102400   0.0000745300
                                      MPI_Alltoall         12       102400   0.0000941521
                                      MPI_Alltoall         13       102400   0.0000846377
                                      MPI_Alltoall         14       102400   0.0000899322
                                      MPI_Alltoall         15       102400   0.0000822730
                                      MPI_Alltoall         16       102400   0.0000844458
                                      MPI_Alltoall         17       102400   0.0000820467
                                      MPI_Alltoall         18       102400   0.0000746511
                                      MPI_Alltoall         19       102400   0.0000741463
                                     MPI_Allreduce          0       102400   0.0002027070
                                     MPI_Allreduce          1       102400   0.0001302185
                                     MPI_Allreduce          2       102400   0.0001317076
                                     MPI_Allreduce          3       102400   0.0001302725
                                     MPI_Allreduce          4       102400   0.0001308452
                                     MPI_Allreduce          5       102400   0.0001534075
                                     MPI_Allreduce          6       102400   0.0001310669
                                     MPI_Allreduce          7       102400   0.0001317011
                                     MPI_Allreduce          8       102400   0.0001312187
                                     MPI_Allreduce          9       102400   0.0001309812
