#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	8
#	1024
#	2048
#@operation=MPI.Op(MPI.MPI_Op(0x00007f9158d1e080), nothing)
#@datatype=UInt8
#@nrep=50
#@root_proc=0
#@nprocs=6
                                              test       nrep        count    runtime_sec
                                         MPI_Bcast          1            8   0.0000086860
                                         MPI_Bcast          2            8   0.0000018030
                                         MPI_Bcast          3            8   0.0000063120
                                         MPI_Bcast          4            8   0.0000025550
                                         MPI_Bcast          5            8   0.0000041280
                                         MPI_Bcast          6            8   0.0000025450
                                         MPI_Bcast          7            8   0.0000023240
                                         MPI_Bcast          8            8   0.0000042480
                                         MPI_Bcast          9            8   0.0000019030
                                         MPI_Bcast         10            8   0.0000020840
                                         MPI_Bcast         11            8   0.0000018730
                                         MPI_Bcast         12            8   0.0000017130
                                         MPI_Bcast         13            8   0.0000013430
                                         MPI_Bcast         14            8   0.0000009310
                                         MPI_Bcast         15            8   0.0000028250
                                         MPI_Bcast         16            8   0.0000013430
                                         MPI_Bcast         17            8   0.0000016430
                                         MPI_Bcast         18            8   0.0000017040
                                         MPI_Bcast         19            8   0.0000017330
                                         MPI_Bcast         20            8   0.0000020040
                                         MPI_Bcast         21            8   0.0000016330
                                         MPI_Bcast         22            8   0.0000018430
                                         MPI_Bcast         23            8   0.0000016140
                                         MPI_Bcast         24            8   0.0000015630
                                         MPI_Bcast         25            8   0.0000018330
                                         MPI_Bcast         26            8   0.0000015530
                                         MPI_Bcast         27            8   0.0000018530
                                         MPI_Bcast         28            8   0.0000020240
                                         MPI_Bcast         29            8   0.0000017430
                                         MPI_Bcast         30            8   0.0000017130
                                         MPI_Bcast         31            8   0.0000016930
                                         MPI_Bcast         32            8   0.0000016330
                                         MPI_Bcast         33            8   0.0000018940
                                         MPI_Bcast         34            8   0.0000014530
                                         MPI_Bcast         35            8   0.0000017430
                                         MPI_Bcast         36            8   0.0000017930
                                         MPI_Bcast         37            8   0.0000015830
                                         MPI_Bcast         38            8   0.0000015430
                                         MPI_Bcast         39            8   0.0000021540
                                         MPI_Bcast         40            8   0.0000016330
                                         MPI_Bcast         41            8   0.0000018530
                                         MPI_Bcast         42            8   0.0000017730
                                         MPI_Bcast         43            8   0.0000017430
                                         MPI_Bcast         44            8   0.0000017840
                                         MPI_Bcast         45            8   0.0000017130
                                         MPI_Bcast         46            8   0.0000019340
                                         MPI_Bcast         47            8   0.0000012920
                                         MPI_Bcast         48            8   0.0000015530
                                         MPI_Bcast         49            8   0.0000016640
                                         MPI_Bcast         50            8   0.0000016130
                                      MPI_Alltoall          1            8   0.0000741910
                                      MPI_Alltoall          2            8   0.0000073640
                                      MPI_Alltoall          3            8   0.0000052200
                                      MPI_Alltoall          4            8   0.0000051490
                                      MPI_Alltoall          5            8   0.0000054510
                                      MPI_Alltoall          6            8   0.0000052300
                                      MPI_Alltoall          7            8   0.0000057910
                                      MPI_Alltoall          8            8   0.0000056110
                                      MPI_Alltoall          9            8   0.0000051900
                                      MPI_Alltoall         10            8   0.0000058620
                                      MPI_Alltoall         11            8   0.0000052400
                                      MPI_Alltoall         12            8   0.0000051500
                                      MPI_Alltoall         13            8   0.0000053600
                                      MPI_Alltoall         14            8   0.0000055410
