#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007f009d3c2100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=16
#@verbose=true
process                                               test       nrep        count           time
      1                                          MPI_Bcast          1            1   0.0000255290
      1                                          MPI_Bcast          2            1   0.0000017580
      1                                          MPI_Bcast          3            1   0.0000012300
      1                                          MPI_Bcast          4            1   0.0000012570
      1                                          MPI_Bcast          5            1   0.0000011490
      1                                          MPI_Bcast          6            1   0.0000012210
      1                                          MPI_Bcast          7            1   0.0000011470
      1                                          MPI_Bcast          8            1   0.0000012210
      1                                          MPI_Bcast          9            1   0.0000012160
      1                                          MPI_Bcast         10            1   0.0000011860
      1                                          MPI_Bcast         11            1   0.0000012280
      1                                          MPI_Bcast         12            1   0.0000011550
      1                                          MPI_Bcast         13            1   0.0000012140
      1                                          MPI_Bcast         14            1   0.0000011630
      1                                          MPI_Bcast         15            1   0.0000016960
      1                                          MPI_Bcast         16            1   0.0000012190
      1                                          MPI_Bcast         17            1   0.0000011910
      1                                          MPI_Bcast         18            1   0.0000011790
      1                                          MPI_Bcast         19            1   0.0000012110
      1                                          MPI_Bcast         20            1   0.0000011420
      2                                          MPI_Bcast          1            1   0.0000327320
      2                                          MPI_Bcast          2            1   0.0000021670
      2                                          MPI_Bcast          3            1   0.0000035900
      2                                          MPI_Bcast          4            1   0.0000028790
      2                                          MPI_Bcast          5            1   0.0000028580
      2                                          MPI_Bcast          6            1   0.0000027800
      2                                          MPI_Bcast          7            1   0.0000030760
      2                                          MPI_Bcast          8            1   0.0000033060
      2                                          MPI_Bcast          9            1   0.0000034760
      2                                          MPI_Bcast         10            1   0.0000028330
      2                                          MPI_Bcast         11            1   0.0000028190
      2                                          MPI_Bcast         12            1   0.0000033800
      2                                          MPI_Bcast         13            1   0.0000030050
      2                                          MPI_Bcast         14            1   0.0000036190
      2                                          MPI_Bcast         15            1   0.0000021200
      2                                          MPI_Bcast         16            1   0.0000033270
      2                                          MPI_Bcast         17            1   0.0000028360
      2                                          MPI_Bcast         18            1   0.0000038060
      2                                          MPI_Bcast         19            1   0.0000034760
      2                                          MPI_Bcast         20            1   0.0000033080
      3                                          MPI_Bcast          1            1   0.0001019970
      3                                          MPI_Bcast          2            1   0.0000037210
      3                                          MPI_Bcast          3            1   0.0000037480
      3                                          MPI_Bcast          4            1   0.0000011820
      3                                          MPI_Bcast          5            1   0.0000029490
      3                                          MPI_Bcast          6            1   0.0000024520
      3                                          MPI_Bcast          7            1   0.0000031570
      3                                          MPI_Bcast          8            1   0.0000032060
      3                                          MPI_Bcast          9            1   0.0000028500
      3                                          MPI_Bcast         10            1   0.0000029490
      3                                          MPI_Bcast         11            1   0.0000025560
      3                                          MPI_Bcast         12            1   0.0000028380
      3                                          MPI_Bcast         13            1   0.0000029860
      3                                          MPI_Bcast         14            1   0.0000029520
      3                                          MPI_Bcast         15            1   0.0000027960
      3                                          MPI_Bcast         16            1   0.0000031980
      3                                          MPI_Bcast         17            1   0.0000028780
      3                                          MPI_Bcast         18            1   0.0000034710
      3                                          MPI_Bcast         19            1   0.0000030140
      3                                          MPI_Bcast         20            1   0.0000028030
      4                                          MPI_Bcast          1            1   0.0000404660
      4                                          MPI_Bcast          2            1   0.0000031240
      4                                          MPI_Bcast          3            1   0.0000054870
      4                                          MPI_Bcast          4            1   0.0000057790
      4                                          MPI_Bcast          5            1   0.0000049110
      4                                          MPI_Bcast          6            1   0.0000045170
      4                                          MPI_Bcast          7            1   0.0000048060
      4                                          MPI_Bcast          8            1   0.0000054840
      4                                          MPI_Bcast          9            1   0.0000058090
      4                                          MPI_Bcast         10            1   0.0000050370
      4                                          MPI_Bcast         11            1   0.0000045230
      4                                          MPI_Bcast         12            1   0.0000051920
      4                                          MPI_Bcast         13            1   0.0000048380
      4                                          MPI_Bcast         14            1   0.0000049490
      4                                          MPI_Bcast         15            1   0.0000047620
      4                                          MPI_Bcast         16            1   0.0000057620
      4                                          MPI_Bcast         17            1   0.0000046150
      4                                          MPI_Bcast         18            1   0.0000054770
      4                                          MPI_Bcast         19            1   0.0000051970
      4                                          MPI_Bcast         20            1   0.0000045870
      5                                          MPI_Bcast          1            1   0.0000328210
      5                                          MPI_Bcast          2            1   0.0000034330
      5                                          MPI_Bcast          3            1   0.0000032510
      5                                          MPI_Bcast          4            1   0.0000030090
      5                                          MPI_Bcast          5            1   0.0000025040
      5                                          MPI_Bcast          6            1   0.0000020900
      5                                          MPI_Bcast          7            1   0.0000028010
      5                                          MPI_Bcast          8            1   0.0000030650
      5                                          MPI_Bcast          9            1   0.0000031630
      5                                          MPI_Bcast         10            1   0.0000027900
      5                                          MPI_Bcast         11            1   0.0000026320
      5                                          MPI_Bcast         12            1   0.0000028950
      5                                          MPI_Bcast         13            1   0.0000030030
      5                                          MPI_Bcast         14            1   0.0000028770
      5                                          MPI_Bcast         15            1   0.0000024530
      5                                          MPI_Bcast         16            1   0.0000032190
      5                                          MPI_Bcast         17            1   0.0000023560
      5                                          MPI_Bcast         18            1   0.0000032110
      5                                          MPI_Bcast         19            1   0.0000025880
      5                                          MPI_Bcast         20            1   0.0000025800
      6                                          MPI_Bcast          1            1   0.0000421060
      6                                          MPI_Bcast          2            1   0.0000038870
      6                                          MPI_Bcast          3            1   0.0000056610
      6                                          MPI_Bcast          4            1   0.0000045950
      6                                          MPI_Bcast          5            1   0.0000048010
      6                                          MPI_Bcast          6            1   0.0000046360
      6                                          MPI_Bcast          7            1   0.0000050450
      6                                          MPI_Bcast          8            1   0.0000055520
      6                                          MPI_Bcast          9            1   0.0000054590
      6                                          MPI_Bcast         10            1   0.0000045370
      6                                          MPI_Bcast         11            1   0.0000045810
      6                                          MPI_Bcast         12            1   0.0000048760
      6                                          MPI_Bcast         13            1   0.0000050090
      6                                          MPI_Bcast         14            1   0.0000050530
      6                                          MPI_Bcast         15            1   0.0000043520
      6                                          MPI_Bcast         16            1   0.0000048540
      6                                          MPI_Bcast         17            1   0.0000044930
      6                                          MPI_Bcast         18            1   0.0000053310
      6                                          MPI_Bcast         19            1   0.0000049810
      6                                          MPI_Bcast         20            1   0.0000044160
      7                                          MPI_Bcast          1            1   0.0001200950
      7                                          MPI_Bcast          2            1   0.0000055150
      7                                          MPI_Bcast          3            1   0.0000051420
      7                                          MPI_Bcast          4            1   0.0000051190
      7                                          MPI_Bcast          5            1   0.0000046730
      7                                          MPI_Bcast          6            1   0.0000038600
      7                                          MPI_Bcast          7            1   0.0000046180
      7                                          MPI_Bcast          8            1   0.0000050260
      7                                          MPI_Bcast          9            1   0.0000049450
      7                                          MPI_Bcast         10            1   0.0000048190
      7                                          MPI_Bcast         11            1   0.0000044320
      7                                          MPI_Bcast         12            1   0.0000043500
      7                                          MPI_Bcast         13            1   0.0000045630
      7                                          MPI_Bcast         14            1   0.0000045870
      7                                          MPI_Bcast         15            1   0.0000043900
      7                                          MPI_Bcast         16            1   0.0000047990
      7                                          MPI_Bcast         17            1   0.0000044590
      7                                          MPI_Bcast         18            1   0.0000049310
      7                                          MPI_Bcast         19            1   0.0000045500
      7                                          MPI_Bcast         20            1   0.0000044340
      8                                          MPI_Bcast          1            1   0.0000461290
      8                                          MPI_Bcast          2            1   0.0000069100
      8                                          MPI_Bcast          3            1   0.0000074300
      8                                          MPI_Bcast          4            1   0.0000066140
      8                                          MPI_Bcast          5            1   0.0000065230
      8                                          MPI_Bcast          6            1   0.0000060140
      8                                          MPI_Bcast          7            1   0.0000068050
      8                                          MPI_Bcast          8            1   0.0000070270
      8                                          MPI_Bcast          9            1   0.0000078780
      8                                          MPI_Bcast         10            1   0.0000067380
      8                                          MPI_Bcast         11            1   0.0000062470
      8                                          MPI_Bcast         12            1   0.0000068310
      8                                          MPI_Bcast         13            1   0.0000068230
      8                                          MPI_Bcast         14            1   0.0000064720
      8                                          MPI_Bcast         15            1   0.0000062980
      8                                          MPI_Bcast         16            1   0.0000072390
      8                                          MPI_Bcast         17            1   0.0000063340
      8                                          MPI_Bcast         18            1   0.0000067960
      8                                          MPI_Bcast         19            1   0.0000068000
      8                                          MPI_Bcast         20            1   0.0000059230
      9                                          MPI_Bcast          1            1   0.0000286610
      9                                          MPI_Bcast          2            1   0.0000018180
      9                                          MPI_Bcast          3            1   0.0000030240
      9                                          MPI_Bcast          4            1   0.0000026770
      9                                          MPI_Bcast          5            1   0.0000027180
      9                                          MPI_Bcast          6            1   0.0000027630
      9                                          MPI_Bcast          7            1   0.0000027450
      9                                          MPI_Bcast          8            1   0.0000026730
      9                                          MPI_Bcast          9            1   0.0000032100
      9                                          MPI_Bcast         10            1   0.0000027250
      9                                          MPI_Bcast         11            1   0.0000027270
      9                                          MPI_Bcast         12            1   0.0000026290
      9                                          MPI_Bcast         13            1   0.0000027430
      9                                          MPI_Bcast         14            1   0.0000026570
      9                                          MPI_Bcast         15            1   0.0000028350
      9                                          MPI_Bcast         16            1   0.0000028190
      9                                          MPI_Bcast         17            1   0.0000025330
      9                                          MPI_Bcast         18            1   0.0000027250
      9                                          MPI_Bcast         19            1   0.0000027290
      9                                          MPI_Bcast         20            1   0.0000024200
     10                                          MPI_Bcast          1            1   0.0000363830
     10                                          MPI_Bcast          2            1   0.0000025310
     10                                          MPI_Bcast          3            1   0.0000057650
     10                                          MPI_Bcast          4            1   0.0000045680
     10                                          MPI_Bcast          5            1   0.0000044830
     10                                          MPI_Bcast          6            1   0.0000041570
     10                                          MPI_Bcast          7            1   0.0000048330
     10                                          MPI_Bcast          8            1   0.0000049850
     10                                          MPI_Bcast          9            1   0.0000051410
     10                                          MPI_Bcast         10            1   0.0000045890
     10                                          MPI_Bcast         11            1   0.0000045310
     10                                          MPI_Bcast         12            1   0.0000048280
     10                                          MPI_Bcast         13            1   0.0000046400
     10                                          MPI_Bcast         14            1   0.0000052240
     10                                          MPI_Bcast         15            1   0.0000040110
     10                                          MPI_Bcast         16            1   0.0000049720
     10                                          MPI_Bcast         17            1   0.0000041830
     10                                          MPI_Bcast         18            1   0.0000054550
     10                                          MPI_Bcast         19            1   0.0000048870
     10                                          MPI_Bcast         20            1   0.0000046260
     11                                          MPI_Bcast          1            1   0.0001148410
     11                                          MPI_Bcast          2            1   0.0000035200
     11                                          MPI_Bcast          3            1   0.0000053070
     11                                          MPI_Bcast          4            1   0.0000011560
     11                                          MPI_Bcast          5            1   0.0000045850
     11                                          MPI_Bcast          6            1   0.0000040220
     11                                          MPI_Bcast          7            1   0.0000047650
     11                                          MPI_Bcast          8            1   0.0000048480
     11                                          MPI_Bcast          9            1   0.0000049450
     11                                          MPI_Bcast         10            1   0.0000045070
     11                                          MPI_Bcast         11            1   0.0000041190
     11                                          MPI_Bcast         12            1   0.0000043710
     11                                          MPI_Bcast         13            1   0.0000046100
     11                                          MPI_Bcast         14            1   0.0000045670
     11                                          MPI_Bcast         15            1   0.0000044410
     11                                          MPI_Bcast         16            1   0.0000049130
     11                                          MPI_Bcast         17            1   0.0000042070
     11                                          MPI_Bcast         18            1   0.0000049460
     11                                          MPI_Bcast         19            1   0.0000047270
     11                                          MPI_Bcast         20            1   0.0000042190
     12                                          MPI_Bcast          1            1   0.0000419080
     12                                          MPI_Bcast          2            1   0.0000028530
     12                                          MPI_Bcast          3            1   0.0000074950
     12                                          MPI_Bcast          4            1   0.0000074930
     12                                          MPI_Bcast          5            1   0.0000065070
     12                                          MPI_Bcast          6            1   0.0000060630
     12                                          MPI_Bcast          7            1   0.0000066740
     12                                          MPI_Bcast          8            1   0.0000067260
     12                                          MPI_Bcast          9            1   0.0000073990
     12                                          MPI_Bcast         10            1   0.0000068810
     12                                          MPI_Bcast         11            1   0.0000061580
     12                                          MPI_Bcast         12            1   0.0000068290
     12                                          MPI_Bcast         13            1   0.0000066850
     12                                          MPI_Bcast         14            1   0.0000067100
     12                                          MPI_Bcast         15            1   0.0000066050
     12                                          MPI_Bcast         16            1   0.0000070890
     12                                          MPI_Bcast         17            1   0.0000061150
     12                                          MPI_Bcast         18            1   0.0000071010
     12                                          MPI_Bcast         19            1   0.0000066650
     12                                          MPI_Bcast         20            1   0.0000060780
     13                                          MPI_Bcast          1            1   0.0000337380
     13                                          MPI_Bcast          2            1   0.0000037080
     13                                          MPI_Bcast          3            1   0.0000049170
     13                                          MPI_Bcast          4            1   0.0000043680
     13                                          MPI_Bcast          5            1   0.0000042360
     13                                          MPI_Bcast          6            1   0.0000037820
     13                                          MPI_Bcast          7            1   0.0000043810
     13                                          MPI_Bcast          8            1   0.0000042740
     13                                          MPI_Bcast          9            1   0.0000048470
     13                                          MPI_Bcast         10            1   0.0000045820
     13                                          MPI_Bcast         11            1   0.0000042020
     13                                          MPI_Bcast         12            1   0.0000043270
     13                                          MPI_Bcast         13            1   0.0000044460
     13                                          MPI_Bcast         14            1   0.0000043540
     13                                          MPI_Bcast         15            1   0.0000040560
     13                                          MPI_Bcast         16            1   0.0000045070
     13                                          MPI_Bcast         17            1   0.0000039910
     13                                          MPI_Bcast         18            1   0.0000046510
     13                                          MPI_Bcast         19            1   0.0000043220
     13                                          MPI_Bcast         20            1   0.0000040680
     14                                          MPI_Bcast          1            1   0.0000428090
     14                                          MPI_Bcast          2            1   0.0000045360
     14                                          MPI_Bcast          3            1   0.0000070400
