#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007fa4c487b100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=32
#@verbose=true
process                                               test       nrep        count           time
      1                                          MPI_Bcast          1            1   0.0000332850
      1                                          MPI_Bcast          2            1   0.0000019470
      1                                          MPI_Bcast          3            1   0.0000015610
      1                                          MPI_Bcast          4            1   0.0000015110
      1                                          MPI_Bcast          5            1   0.0000015540
      1                                          MPI_Bcast          6            1   0.0000015270
      1                                          MPI_Bcast          7            1   0.0000014610
      1                                          MPI_Bcast          8            1   0.0000015980
      1                                          MPI_Bcast          9            1   0.0000014370
      1                                          MPI_Bcast         10            1   0.0000014730
      1                                          MPI_Bcast         11            1   0.0000017410
      1                                          MPI_Bcast         12            1   0.0000015480
      1                                          MPI_Bcast         13            1   0.0000014300
      1                                          MPI_Bcast         14            1   0.0000014570
      1                                          MPI_Bcast         15            1   0.0000014630
      1                                          MPI_Bcast         16            1   0.0000017150
      1                                          MPI_Bcast         17            1   0.0000018210
      1                                          MPI_Bcast         18            1   0.0000014490
      1                                          MPI_Bcast         19            1   0.0000014490
      1                                          MPI_Bcast         20            1   0.0000014650
      2                                          MPI_Bcast          1            1   0.0000325690
      2                                          MPI_Bcast          2            1   0.0000038060
      2                                          MPI_Bcast          3            1   0.0000027540
      2                                          MPI_Bcast          4            1   0.0000027340
      2                                          MPI_Bcast          5            1   0.0000028860
      2                                          MPI_Bcast          6            1   0.0000030400
      2                                          MPI_Bcast          7            1   0.0000032340
      2                                          MPI_Bcast          8            1   0.0000033000
      2                                          MPI_Bcast          9            1   0.0000032890
      2                                          MPI_Bcast         10            1   0.0000029260
      2                                          MPI_Bcast         11            1   0.0000030430
      2                                          MPI_Bcast         12            1   0.0000032220
      2                                          MPI_Bcast         13            1   0.0000021970
      2                                          MPI_Bcast         14            1   0.0000034040
      2                                          MPI_Bcast         15            1   0.0000031620
      2                                          MPI_Bcast         16            1   0.0000023840
      2                                          MPI_Bcast         17            1   0.0000033850
      2                                          MPI_Bcast         18            1   0.0000028650
      2                                          MPI_Bcast         19            1   0.0000024900
      2                                          MPI_Bcast         20            1   0.0000034270
      3                                          MPI_Bcast          1            1   0.0001037100
      3                                          MPI_Bcast          2            1   0.0000038320
      3                                          MPI_Bcast          3            1   0.0000030260
