#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007f56450e3100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=36
#@verbose=true
process                                               test       nrep        count           time
      1                                          MPI_Bcast          1            1   0.0000337400
      1                                          MPI_Bcast          2            1   0.0000022080
      1                                          MPI_Bcast          3            1   0.0000018560
      1                                          MPI_Bcast          4            1   0.0000018620
      1                                          MPI_Bcast          5            1   0.0000018080
      1                                          MPI_Bcast          6            1   0.0000018510
      1                                          MPI_Bcast          7            1   0.0000016760
      1                                          MPI_Bcast          8            1   0.0000020540
      1                                          MPI_Bcast          9            1   0.0000017890
      1                                          MPI_Bcast         10            1   0.0000019910
      1                                          MPI_Bcast         11            1   0.0000017590
      1                                          MPI_Bcast         12            1   0.0000017090
      1                                          MPI_Bcast         13            1   0.0000016980
      1                                          MPI_Bcast         14            1   0.0000017340
      1                                          MPI_Bcast         15            1   0.0000021140
      1                                          MPI_Bcast         16            1   0.0000022920
      1                                          MPI_Bcast         17            1   0.0000017610
      1                                          MPI_Bcast         18            1   0.0000017670
      1                                          MPI_Bcast         19            1   0.0000017310
      1                                          MPI_Bcast         20            1   0.0000019950
      2                                          MPI_Bcast          1            1   0.0000352850
      2                                          MPI_Bcast          2            1   0.0000023910
      2                                          MPI_Bcast          3            1   0.0000024690
      2                                          MPI_Bcast          4            1   0.0000023510
      2                                          MPI_Bcast          5            1   0.0000027210
      2                                          MPI_Bcast          6            1   0.0000020860
      2                                          MPI_Bcast          7            1   0.0000033750
      2                                          MPI_Bcast          8            1   0.0000024680
      2                                          MPI_Bcast          9            1   0.0000024410
      2                                          MPI_Bcast         10            1   0.0000023670
      2                                          MPI_Bcast         11            1   0.0000020370
      2                                          MPI_Bcast         12            1   0.0000026670
      2                                          MPI_Bcast         13            1   0.0000025770
      2                                          MPI_Bcast         14            1   0.0000026720
      2                                          MPI_Bcast         15            1   0.0000036630
      2                                          MPI_Bcast         16            1   0.0000027570
      2                                          MPI_Bcast         17            1   0.0000019700
      2                                          MPI_Bcast         18            1   0.0000031480
      2                                          MPI_Bcast         19            1   0.0000020030
      2                                          MPI_Bcast         20            1   0.0000024130
      3                                          MPI_Bcast          1            1   0.0001048000
      3                                          MPI_Bcast          2            1   0.0000045990
      3                                          MPI_Bcast          3            1   0.0000018420
      3                                          MPI_Bcast          4            1   0.0000017840
      3                                          MPI_Bcast          5            1   0.0000021350
      3                                          MPI_Bcast          6            1   0.0000030680
      3                                          MPI_Bcast          7            1   0.0000029970
      3                                          MPI_Bcast          8            1   0.0000019500
      3                                          MPI_Bcast          9            1   0.0000020640
      3                                          MPI_Bcast         10            1   0.0000016920
      3                                          MPI_Bcast         11            1   0.0000019580
      3                                          MPI_Bcast         12            1   0.0000022110
      3                                          MPI_Bcast         13            1   0.0000015810
      3                                          MPI_Bcast         14            1   0.0000018330
      3                                          MPI_Bcast         15            1   0.0000036400
      3                                          MPI_Bcast         16            1   0.0000018530
      3                                          MPI_Bcast         17            1   0.0000019530
      3                                          MPI_Bcast         18            1   0.0000021880
      3                                          MPI_Bcast         19            1   0.0000021450
      3                                          MPI_Bcast         20            1   0.0000017740
      4                                          MPI_Bcast          1            1   0.0000994420
      4                                          MPI_Bcast          2            1   0.0000055050
      4                                          MPI_Bcast          3            1   0.0000040390
      4                                          MPI_Bcast          4            1   0.0000024810
      4                                          MPI_Bcast          5            1   0.0000039860
      4                                          MPI_Bcast          6            1   0.0000045370
      4                                          MPI_Bcast          7            1   0.0000049280
      4                                          MPI_Bcast          8            1   0.0000028160
      4                                          MPI_Bcast          9            1   0.0000031160
      4                                          MPI_Bcast         10            1   0.0000033150
      4                                          MPI_Bcast         11            1   0.0000033610
      4                                          MPI_Bcast         12            1   0.0000050920
      4                                          MPI_Bcast         13            1   0.0000036400
      4                                          MPI_Bcast         14            1   0.0000036100
      4                                          MPI_Bcast         15            1   0.0000063080
      4                                          MPI_Bcast         16            1   0.0000035990
      4                                          MPI_Bcast         17            1   0.0000031330
      4                                          MPI_Bcast         18            1   0.0000037210
      4                                          MPI_Bcast         19            1   0.0000038010
      4                                          MPI_Bcast         20            1   0.0000039700
      5                                          MPI_Bcast          1            1   0.0000997170
      5                                          MPI_Bcast          2            1   0.0000019720
      5                                          MPI_Bcast          3            1   0.0000013230
      5                                          MPI_Bcast          4            1   0.0000031290
      5                                          MPI_Bcast          5            1   0.0000016960
      5                                          MPI_Bcast          6            1   0.0000026030
      5                                          MPI_Bcast          7            1   0.0000023500
      5                                          MPI_Bcast          8            1   0.0000022890
      5                                          MPI_Bcast          9            1   0.0000012930
      5                                          MPI_Bcast         10            1   0.0000012090
      5                                          MPI_Bcast         11            1   0.0000011690
      5                                          MPI_Bcast         12            1   0.0000025040
      5                                          MPI_Bcast         13            1   0.0000013030
      5                                          MPI_Bcast         14            1   0.0000010360
      5                                          MPI_Bcast         15            1   0.0000036610
      5                                          MPI_Bcast         16            1   0.0000015500
      5                                          MPI_Bcast         17            1   0.0000011870
      5                                          MPI_Bcast         18            1   0.0000017490
      5                                          MPI_Bcast         19            1   0.0000011630
      5                                          MPI_Bcast         20            1   0.0000018550
      6                                          MPI_Bcast          1            1   0.0000965680
      6                                          MPI_Bcast          2            1   0.0000025240
      6                                          MPI_Bcast          3            1   0.0000016610
      6                                          MPI_Bcast          4            1   0.0000035500
      6                                          MPI_Bcast          5            1   0.0000028020
      6                                          MPI_Bcast          6            1   0.0000038240
      6                                          MPI_Bcast          7            1   0.0000035550
      6                                          MPI_Bcast          8            1   0.0000028990
      6                                          MPI_Bcast          9            1   0.0000022970
      6                                          MPI_Bcast         10            1   0.0000025460
      6                                          MPI_Bcast         11            1   0.0000023220
      6                                          MPI_Bcast         12            1   0.0000030440
      6                                          MPI_Bcast         13            1   0.0000022380
      6                                          MPI_Bcast         14            1   0.0000022500
      6                                          MPI_Bcast         15            1   0.0000050950
      6                                          MPI_Bcast         16            1   0.0000019150
      6                                          MPI_Bcast         17            1   0.0000023000
      6                                          MPI_Bcast         18            1   0.0000031350
      6                                          MPI_Bcast         19            1   0.0000024050
      6                                          MPI_Bcast         20            1   0.0000025690
      7                                          MPI_Bcast          1            1   0.0001799200
      7                                          MPI_Bcast          2            1   0.0000044390
      7                                          MPI_Bcast          3            1   0.0000016340
      7                                          MPI_Bcast          4            1   0.0000030000
      7                                          MPI_Bcast          5            1   0.0000049370
      7                                          MPI_Bcast          6            1   0.0000048980
      7                                          MPI_Bcast          7            1   0.0000029730
      7                                          MPI_Bcast          8            1   0.0000021290
      7                                          MPI_Bcast          9            1   0.0000016320
      7                                          MPI_Bcast         10            1   0.0000015420
      7                                          MPI_Bcast         11            1   0.0000011070
      7                                          MPI_Bcast         12            1   0.0000019130
      7                                          MPI_Bcast         13            1   0.0000017980
