#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007fba3849b100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=4
#@verbose=true
process                                               test       nrep        count           time
      1                                          MPI_Bcast          1            1   0.0000141850
      1                                          MPI_Bcast          2            1   0.0000010180
      1                                          MPI_Bcast          3            1   0.0000008150
      1                                          MPI_Bcast          4            1   0.0000006940
      1                                          MPI_Bcast          5            1   0.0000006920
      1                                          MPI_Bcast          6            1   0.0000006940
      1                                          MPI_Bcast          7            1   0.0000006660
      1                                          MPI_Bcast          8            1   0.0000009270
      1                                          MPI_Bcast          9            1   0.0000006980
      1                                          MPI_Bcast         10            1   0.0000006690
      1                                          MPI_Bcast         11            1   0.0000006520
      1                                          MPI_Bcast         12            1   0.0000007360
      1                                          MPI_Bcast         13            1   0.0000006650
      1                                          MPI_Bcast         14            1   0.0000006650
      1                                          MPI_Bcast         15            1   0.0000007100
      1                                          MPI_Bcast         16            1   0.0000008880
      1                                          MPI_Bcast         17            1   0.0000010620
      1                                          MPI_Bcast         18            1   0.0000007070
      1                                          MPI_Bcast         19            1   0.0000006700
      1                                          MPI_Bcast         20            1   0.0000006690
      2                                          MPI_Bcast          1            1   0.0000205780
      2                                          MPI_Bcast          2            1   0.0000031610
      2                                          MPI_Bcast          3            1   0.0000033270
      2                                          MPI_Bcast          4            1   0.0000023460
      2                                          MPI_Bcast          5            1   0.0000024870
      2                                          MPI_Bcast          6            1   0.0000022090
      2                                          MPI_Bcast          7            1   0.0000026100
      2                                          MPI_Bcast          8            1   0.0000028000
      2                                          MPI_Bcast          9            1   0.0000028460
      2                                          MPI_Bcast         10            1   0.0000024470
      2                                          MPI_Bcast         11            1   0.0000026270
      2                                          MPI_Bcast         12            1   0.0000018250
      2                                          MPI_Bcast         13            1   0.0000025660
      2                                          MPI_Bcast         14            1   0.0000025040
      2                                          MPI_Bcast         15            1   0.0000018070
      2                                          MPI_Bcast         16            1   0.0000026170
      2                                          MPI_Bcast         17            1   0.0000033860
      2                                          MPI_Bcast         18            1   0.0000024010
      2                                          MPI_Bcast         19            1   0.0000019960
      2                                          MPI_Bcast         20            1   0.0000024250
      3                                          MPI_Bcast          1            1   0.0000137050
      3                                          MPI_Bcast          2            1   0.0000021150
      3                                          MPI_Bcast          3            1   0.0000023620
      3                                          MPI_Bcast          4            1   0.0000023950
      3                                          MPI_Bcast          5            1   0.0000021220
      3                                          MPI_Bcast          6            1   0.0000022220
      3                                          MPI_Bcast          7            1   0.0000022680
      3                                          MPI_Bcast          8            1   0.0000019240
      3                                          MPI_Bcast          9            1   0.0000022900
      3                                          MPI_Bcast         10            1   0.0000023480
      3                                          MPI_Bcast         11            1   0.0000022390
      3                                          MPI_Bcast         12            1   0.0000021510
      3                                          MPI_Bcast         13            1   0.0000023410
      3                                          MPI_Bcast         14            1   0.0000023470
      3                                          MPI_Bcast         15            1   0.0000021680
      3                                          MPI_Bcast         16            1   0.0000021900
      3                                          MPI_Bcast         17            1   0.0000027340
      3                                          MPI_Bcast         18            1   0.0000021610
      3                                          MPI_Bcast         19            1   0.0000022380
      3                                          MPI_Bcast         20            1   0.0000022980
      4                                          MPI_Bcast          1            1   0.0000214720
      4                                          MPI_Bcast          2            1   0.0000042030
      4                                          MPI_Bcast          3            1   0.0000050110
      4                                          MPI_Bcast          4            1   0.0000040590
      4                                          MPI_Bcast          5            1   0.0000039610
      4                                          MPI_Bcast          6            1   0.0000036950
      4                                          MPI_Bcast          7            1   0.0000041420
      4                                          MPI_Bcast          8            1   0.0000044930
      4                                          MPI_Bcast          9            1   0.0000045730
      4                                          MPI_Bcast         10            1   0.0000043920
      4                                          MPI_Bcast         11            1   0.0000040700
      4                                          MPI_Bcast         12            1   0.0000036850
